분류,경로,이름,Q1,Q2,상태,비고,PR,완료일
09-national,09-national/policy-bodies/SP-NAT-POLICY-POLICE_v1.1.md,SP-NAT-POLICY-POLICE_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MAFRA_v1.1.md,SP-NAT-POLICY-MAFRA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NAFI_v1.1.md,SP-NAT-POLICY-NAFI_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MFDS_v1.1.md,SP-NAT-POLICY-MFDS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-CIO_v1.1.md,SP-NAT-POLICY-CIO_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MPM_v1.1.md,SP-NAT-POLICY-MPM_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MPVA_v1.1.md,SP-NAT-POLICY-MPVA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NTS_v1.1.md,SP-NAT-POLICY-NTS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOF_v1.1.md,SP-NAT-POLICY-MOF_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NARS_v1.1.md,SP-NAT-POLICY-NARS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-FSC_v1.1.md,SP-NAT-POLICY-FSC_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOJ_v1.1.md,SP-NAT-POLICY-MOJ_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-OBS_v1.1.md,SP-NAT-POLICY-OBS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/REVERIFICATION-CYCLE-POLICY_2026-07-09.md,REVERIFICATION-CYCLE-POLICY_2026-07-09,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MND_v1.1.md,SP-NAT-POLICY-MND_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOLELEG_v1.1.md,SP-NAT-POLICY-MOLELEG_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOTIE_v1.1.md,SP-NAT-POLICY-MOTIE_v1.1,Y,N,미착수,,,
